Number_of_Blue_M&Ms,Total_number_of_M&Ms_in_the_bag
3,15
5,17
2,17
3,14
1,15
4,16
3,17
2,16
3,13
4,15
7,17
5,15
3,13
3,16
3,19
3,18
4,14
3,16
3,17
5,16
2,12
3,16
5,14
2,14
4,16
2,14
4,13
4,16
2,14
5,15
3,16
2,12
4,15
2,15
3,15
4,18
4,14
1,15
4,18
2,15
2,7
3,15
1,10
1,16
5,17
8,17
3,17
4,18
3,17
2,13
3,18
4,13
4,20
6,16
5,18
3,15
4,15
2,16
4,16
4,18
2,15
1,15
1,16
2,16
4,15
6,16
4,17
4,15
2,20
2,15
4,17
2,14
2,16
3,15
2,15
6,19
4,14
9,34
5,18
2,17
3,15
4,15
4,15
4,13
2,16
7,12
4,17
1,15
1,15
2,16
0,16
1,13
2,16
2,14
3,16
2,14
1,15
1,13
2,15
3,15
1,16
2,15
0,14
5,15
0,14
4,16
1,13
3,16
2,17
4,14
3,14
4,14
1,15
3,15
2,15
3,15
2,14